scheme_id,scheme_name,scheme_category,scheme_category_clean,issuing_authority,issuing_authority_normalized,min_age,max_age,max_annual_income,min_age_inferred,max_age_inferred,income_inferred,allowed_occupations,allowed_social_categories,required_disability_status,state_restricted_to_normalized,gender_restricted_to,is_national_scheme,eligibility_text_clean,benefit_summary,benefit_value_estimate,benefit_value_numeric,benefit_currency,required_documents,application_url,official_source_url,last_verified_date,eligibility_verified,data_quality_score
pm-kisan-001,PM-KISAN Samman Nidhi,agriculture,agriculture,Ministry of Agriculture & Farmers Welfare,Ministry of Agriculture & Farmers Welfare,18,,200000,,,,farmer,,,All India,any,True,Manually verified seed scheme.,"Income support of Rs 6,000 per year to landholding farmer families in three installments.","₹6,000/year",6000.0,₹,aadhaar;ration_card,https://pmkisan.gov.in/,https://pmkisan.gov.in/,2026-07-10,True,88.2
pmfby-002,Pradhan Mantri Fasal Bima Yojana,agriculture,agriculture,Ministry of Agriculture & Farmers Welfare,Ministry of Agriculture & Farmers Welfare,18,,,,,,farmer,,,All India,any,True,Manually verified seed scheme.,"Crop insurance against yield loss from natural calamities, pests and diseases.","Up to ₹200,000 insurance cover",200000.0,₹,aadhaar;ration_card,https://pmfby.gov.in/,https://pmfby.gov.in/,2026-07-10,True,82.4
pmay-g-003,Pradhan Mantri Awas Yojana - Gramin,housing,housing,Ministry of Rural Development,Ministry of Rural Development,18,,120000,,,,,,,All India,any,True,Manually verified seed scheme.,Financial assistance to build a pucca house for rural households without adequate shelter.,"₹120,000 (plain areas)",120000.0,₹,aadhaar;ration_card;income_certificate,https://pmayg.nic.in/,https://pmayg.nic.in/,2026-07-10,True,82.4
nsap-igndps-004,Indira Gandhi National Disability Pension Scheme,disability,disability,Ministry of Rural Development,Ministry of Rural Development,18,59,100000,,,,,,physical;visual;hearing;intellectual;multiple,All India,any,True,Manually verified seed scheme.,Monthly pension for persons aged 18-59 with severe or multiple disabilities below poverty line.,₹300-500/month,500.0,₹,aadhaar;income_certificate,https://nsap.nic.in/,https://nsap.nic.in/,2026-07-10,True,88.2
nsap-igndps-old-005,Indira Gandhi National Old Age Pension Scheme,pension,pension,Ministry of Rural Development,Ministry of Rural Development,60,,100000,,,,,,,All India,any,True,Manually verified seed scheme.,Monthly old-age pension for citizens aged 60 and above living below the poverty line.,₹200-500/month,500.0,₹,aadhaar;income_certificate;ration_card,https://nsap.nic.in/,https://nsap.nic.in/,2026-07-10,True,82.4
pmjay-006,Ayushman Bharat PM-JAY,health,health,National Health Authority,National Health Authority,,,100000,,,,,,,All India,any,True,Manually verified seed scheme.,Health cover of Rs 5 lakh per family per year for secondary and tertiary hospitalization.,"₹500,000/year health insurance",500000.0,₹,aadhaar;ration_card,https://pmjay.gov.in/,https://pmjay.gov.in/,2026-07-10,True,76.5
nmms-007,National Means-cum-Merit Scholarship,education,education,Ministry of Education,Ministry of Education,13,18,350000,,,,student,,,All India,any,True,Manually verified seed scheme.,Scholarship for meritorious students from economically weaker sections in classes 9-12.,"₹12,000/year",12000.0,₹,aadhaar;income_certificate,https://scholarships.gov.in/,https://scholarships.gov.in/,2026-07-10,True,94.1
post-matric-sc-008,Post-Matric Scholarship for SC Students,education,education,Ministry of Social Justice & Empowerment,Ministry of Social Justice & Empowerment,15,,250000,,,,student,sc,,All India,any,True,Manually verified seed scheme.,Financial assistance to SC students pursuing post-matriculation studies.,"₹20,000/year",20000.0,₹,aadhaar;income_certificate;caste_certificate,https://scholarships.gov.in/,https://scholarships.gov.in/,2026-07-10,True,94.1
pmmvy-009,Pradhan Mantri Matru Vandana Yojana,women_child,women_and_child,Ministry of Women & Child Development,Ministry of Women & Child Development,19,45,200000,,,,,,,All India,female,True,Manually verified seed scheme.,Maternity benefit as partial wage compensation for the first living child.,"₹5,000 (one-time)",5000.0,₹,aadhaar;ration_card,https://wcd.nic.in/,https://wcd.nic.in/,2026-07-10,True,88.2
pm-svanidhi-010,PM Street Vendor's AtmaNirbhar Nidhi,other,other,Ministry of Housing & Urban Affairs,Ministry of Housing & Urban Affairs,18,,,,,,self_employed;daily_wage,,,All India,any,True,Manually verified seed scheme.,Collateral-free working capital loan for urban street vendors.,"₹10,000-50,000 loan",50000.0,₹,aadhaar,https://pmsvanidhi.mohua.gov.in/,https://pmsvanidhi.mohua.gov.in/,2026-07-10,True,82.4
nrega-011,Mahatma Gandhi National Rural Employment Guarantee,other,other,Ministry of Rural Development,Ministry of Rural Development,18,,,,,,daily_wage;unemployed;farmer,,,All India,any,True,Manually verified seed scheme.,Guarantees 100 days of wage employment per year to rural households.,₹200-300/day (100 days),300.0,₹,aadhaar;ration_card,https://nrega.nic.in/,https://nrega.nic.in/,2026-07-10,True,82.4
kalia-odisha-012,KALIA Scheme (Odisha),agriculture,agriculture,Government of Odisha,Government of Odisha,18,,150000,,,,farmer;daily_wage,,,Odisha,any,False,Manually verified seed scheme.,Livelihood support for small and marginal farmers and landless agricultural labourers in Odisha.,"₹12,500/year",12500.0,₹,aadhaar;ration_card,https://kalia.odisha.gov.in/,https://kalia.odisha.gov.in/,2026-07-10,True,88.2
ladli-behna-mp-013,Ladli Behna Yojana (Madhya Pradesh),women_child,women_and_child,Government of Madhya Pradesh,Government of Madhya Pradesh,21,60,250000,,,,,,,Madhya Pradesh,female,False,Manually verified seed scheme.,Monthly financial assistance to women residents of Madhya Pradesh.,"₹1,250/month",1250.0,₹,aadhaar;ration_card;income_certificate,https://cmladlibahna.mp.gov.in/,https://cmladlibahna.mp.gov.in/,2026-07-10,True,88.2
